QualifyingAreaName,TotalPopulation,Male,Female,WhitePopulation,White_Male,White_Female,FreeColoredPopulation,FreeColored_Male,FreeColored_Female,SlavePopulation,Slave_Male,Slave_Female,FreePersons,FreePersons_White,FreePersons_White_Male,FreePersons_White_Female,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Male,FreePersons_ColoredPersons_Female,SlavePopulation_Male,SlavePopulation_Female,DisabledWhite,DisabledWhite_DeafandDumb,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPublicCharge,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinMining,PersonsEmployedinAgriculture,PersonsEmployedinCommerce,PersonsEmployedinManufacturingTrade,PersonsEmployedinOceanNavigation,PersonsEmployedinLandNavigation,PersonsEmployedEngineersProfessional,PensionersofRevolutionaryWarorMilitaryService,CollegeUniversityStudents,AcademyGrammarSchoolStudents,PrimaryCommonSchoolStudents,StudentsatPublicCharge,IlliterateWhiteAge20andOver,LiterateWhiteAge20andOver,NumberofPersonsEmployedinPrintingBinding
"Allen County, Indiana",5942,3289,2653,5924,3277,2647,18,12,6,0,0,0,5942,5924,3277,2647,18,12,6,0,0,3,1,0,0,0,166,1292,52,265,0,6,28,0,0,0,920,0,160,2662,3
"Bartholomew County, Indiana",10042,5229,4813,10008,5206,4802,34,23,11,0,0,0,10042,10008,5206,4802,34,23,11,0,0,5,3,3,0,3,0,1852,31,277,0,0,28,5,0,0,943,0,649,3176,2
"Blackford County, Indiana",1226,632,594,1213,623,590,13,9,4,0,0,0,1226,1213,623,590,13,9,4,0,0,0,0,1,0,1,0,316,5,15,0,0,0,2,0,0,0,0,55,415,0
"Boone County, Indiana",8121,4133,3988,8102,4126,3976,19,7,12,0,0,0,8121,8102,4126,3976,19,7,12,0,0,19,12,7,0,7,0,1259,8,49,0,0,15,5,0,0,250,48,31,2972,0
"Brown County, Indiana",2364,1199,1165,2341,1189,1152,23,10,13,0,0,0,2364,2341,1189,1152,23,10,13,0,0,2,1,1,0,1,0,499,0,0,0,0,0,3,0,0,24,0,122,656,0
"Carroll County, Indiana",7819,4141,3678,7813,4137,3676,6,4,2,0,0,0,7819,7813,4137,3676,6,4,2,0,0,6,2,4,0,4,0,2195,28,263,0,0,31,1,0,60,288,0,400,2851,7
"Cass County, Indiana",5480,3034,2446,5440,3015,2425,40,19,21,0,0,0,5480,5440,3015,2425,40,19,21,0,0,12,6,6,0,6,0,643,40,131,0,1,29,1,0,0,276,0,457,1877,5
"Clark County, Indiana",14595,7599,6996,14207,7403,6804,388,196,192,0,0,0,14595,14207,7403,6804,388,196,192,0,0,21,3,14,0,14,0,2492,82,1045,2,158,63,10,0,171,1426,0,676,5438,6
"Clay County, Indiana",5567,2888,2679,5564,2885,2679,3,3,0,0,0,0,5567,5564,2885,2679,3,3,0,0,0,12,7,5,0,5,0,2522,20,137,0,0,12,7,0,45,356,0,738,1268,0
"Clinton County, Indiana",7508,3923,3585,7499,3918,3581,9,5,4,0,0,0,7508,7499,3918,3581,9,5,4,0,0,4,2,2,1,1,0,1069,14,138,0,0,24,0,0,0,45,0,87,2790,0
"Crawford County, Indiana",5282,2681,2601,5270,2675,2595,12,6,6,0,0,0,5282,5270,2675,2595,12,6,6,0,0,7,2,5,1,4,0,681,0,67,0,27,8,4,0,0,310,0,389,1497,3
"Daviess County, Indiana",6720,3505,3215,6695,3491,3204,25,14,11,0,0,0,6720,6695,3491,3204,25,14,11,0,0,0,0,1,0,1,0,1773,0,106,0,0,16,4,0,43,244,0,667,2001,5
"Dearborn County, Indiana",19327,10083,9244,19192,10013,9179,135,70,65,0,0,0,19327,19192,10013,9179,135,70,65,0,0,28,10,22,5,17,0,3905,167,897,0,80,74,15,0,30,1110,0,78,7982,8
"Decatur County, Indiana",12171,6109,6062,12108,6081,6027,63,28,35,0,0,0,12171,12108,6081,6027,63,28,35,0,0,18,3,12,1,11,0,2737,54,292,0,1,25,11,0,75,2986,0,151,4612,4
"De Kalb County, Indiana",1968,1065,903,1961,1061,900,7,4,3,0,0,0,1968,1961,1061,900,7,4,3,0,0,7,7,0,0,0,0,574,3,30,0,0,3,0,0,0,191,0,75,736,0
"Delaware County, Indiana",8843,4604,4239,8840,4601,4239,3,3,0,0,0,0,8843,8840,4601,4239,3,3,0,0,0,28,14,13,3,10,0,2088,40,222,0,1,27,3,0,0,1329,57,366,3018,0
"Dubois County, Indiana",3632,1891,1741,3625,1888,1737,7,3,4,0,0,0,3632,3625,1888,1737,7,3,4,0,0,5,1,2,0,2,0,985,0,0,0,0,6,1,0,75,50,0,532,927,0
"Elkhart County, Indiana",6660,3522,3138,6658,3521,3137,2,1,1,0,0,0,6660,6658,3521,3137,2,1,1,0,0,7,5,3,2,1,15,1017,38,240,0,0,23,2,0,0,473,9,114,2572,2
"Fayette County, Indiana",9837,5094,4743,9784,5062,4722,53,32,21,0,0,0,9837,9784,5062,4722,53,32,21,0,0,51,9,39,25,14,1,2926,48,396,9,0,39,4,0,125,447,80,494,3575,3
"Floyd County, Indiana",9454,4920,4534,9052,4716,4336,402,204,198,0,0,0,9454,9052,4716,4336,402,204,198,0,0,6,0,3,2,1,0,1470,205,642,0,137,49,5,0,0,379,0,642,3289,16
"Fountain County, Indiana",11218,5836,5382,11185,5819,5366,33,17,16,0,0,0,11218,11185,5819,5366,33,17,16,0,0,12,8,3,0,3,0,3167,38,250,0,1,40,0,0,0,30,3075,874,3457,2
"Franklin County, Indiana",13349,6875,6474,13267,6832,6435,82,43,39,0,0,0,13349,13267,6832,6435,82,43,39,0,0,18,8,10,1,9,0,1786,55,552,1,2,68,14,0,137,995,536,65,5429,6
"Fulton County, Indiana",1993,1024,969,1992,1023,969,1,1,0,0,0,0,1993,1992,1023,969,1,1,0,0,0,1,0,2,0,2,0,495,7,28,0,0,11,1,0,0,0,0,0,827,0
"Gibson County, Indiana",8977,4632,4345,8840,4562,4278,137,70,67,0,0,0,8977,8840,4562,4278,137,70,67,0,0,23,5,16,1,15,0,2184,37,201,0,6,21,4,0,20,486,0,1044,2427,0
"Grant County, Indiana",4875,2569,2306,4875,2569,2306,0,0,0,0,0,0,4875,4875,2569,2306,0,0,0,0,0,6,1,5,1,4,0,1078,20,114,0,0,13,0,0,0,86,0,321,1535,0
"Greene County, Indiana",8321,4272,4049,8239,4225,4014,82,47,35,0,0,0,8321,8239,4225,4014,82,47,35,0,0,22,14,7,2,5,0,2286,23,269,0,0,15,9,0,0,834,586,740,2331,0
"Hamilton County, Indiana",9855,5139,4716,9788,5107,4681,67,32,35,0,0,0,9855,9788,5107,4681,67,32,35,0,0,32,10,17,0,17,0,2904,25,347,0,0,27,4,0,0,314,0,1271,2508,2
"Hancock County, Indiana",7535,3870,3665,7496,3855,3641,39,15,24,0,0,0,7535,7496,3855,3641,39,15,24,0,0,0,0,0,0,0,0,1494,9,99,1,0,9,3,0,0,156,8,330,2545,0
"Harrison County, Indiana",12459,6344,6115,12370,6296,6074,89,48,41,0,0,0,12459,12370,6296,6074,89,48,41,0,0,7,1,6,2,4,0,2175,20,234,0,0,12,9,0,90,162,0,419,4504,0
"Hendricks County, Indiana",11264,5753,5511,11247,5747,5500,17,6,11,0,0,0,11264,11247,5747,5500,17,6,11,0,0,2,1,0,0,0,0,2486,0,112,0,0,10,5,0,0,1450,0,924,3251,0
"Henry County, Indiana",15128,7803,7325,14983,7721,7262,145,82,63,0,0,0,15128,14983,7721,7262,145,82,63,0,0,11,0,11,3,8,5,3381,59,436,0,0,56,7,0,0,661,110,495,5122,0
"Huntington County, Indiana",1579,830,749,1565,823,742,14,7,7,0,0,0,1579,1565,823,742,14,7,7,0,0,0,0,0,0,0,3,1349,9,53,2,1,11,0,0,0,15,0,131,481,0
"Jackson County, Indiana",8961,4520,4441,8771,4424,4347,190,96,94,0,0,0,8961,8771,4424,4347,190,96,94,0,0,14,3,7,0,7,0,2614,30,157,0,0,30,10,0,0,736,219,1412,1999,0
"Jasper County, Indiana",1267,684,583,1265,683,582,2,1,1,0,0,0,1267,1265,683,582,2,1,1,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,512,0
"Jay County, Indiana",3863,2046,1817,3852,2040,1812,11,6,5,0,0,0,3863,3852,2040,1812,11,6,5,0,0,10,5,2,0,2,0,959,0,63,0,0,11,2,0,0,30,0,395,1097,0
"Jefferson County, Indiana",16614,8592,8022,16185,8396,7789,429,196,233,0,0,0,16614,16185,8396,7789,429,196,233,0,0,15,4,14,7,7,0,3455,203,817,2,32,109,7,1,22,1050,154,123,6510,11
"Jennings County, Indiana",8829,4692,4137,8671,4609,4062,158,83,75,0,0,0,8829,8671,4609,4062,158,83,75,0,0,0,0,0,0,0,0,2047,49,240,2,0,18,10,0,135,555,0,0,3480,2
"Johnson County, Indiana",9352,4809,4543,9332,4796,4536,20,13,7,0,0,0,9352,9332,4796,4536,20,13,7,0,0,6,3,2,1,1,0,1591,35,205,0,0,28,5,0,40,160,0,581,2857,0
"Knox County, Indiana",10657,5581,5076,10096,5283,4813,561,298,263,0,0,0,10657,10096,5283,4813,561,298,263,0,0,9,0,10,4,6,0,1792,76,293,0,39,45,7,0,108,829,0,643,3552,9
"Kosciusko County, Indiana",4170,2241,1929,4170,2241,1929,0,0,0,0,0,0,4170,4170,2241,1929,0,0,0,0,0,3,2,0,0,0,0,108,9,69,0,1,16,0,0,0,216,217,364,1355,0
"Lagrange County, Indiana",3664,1963,1701,3661,1960,1701,3,3,0,0,0,0,3664,3661,1960,1701,3,3,0,0,0,8,1,4,2,2,0,972,0,114,1,0,20,2,1,130,494,0,162,1408,0
"Lake County, Indiana",1468,829,639,1466,828,638,2,1,1,0,0,0,1468,1466,828,638,2,1,1,0,0,2,1,0,0,0,0,510,1,17,0,0,5,0,0,0,116,0,7,640,1
"Laporte County, Indiana",8184,4472,3712,8152,4455,3697,32,17,15,0,0,0,8184,8152,4455,3697,32,17,15,0,0,11,4,5,3,2,0,2016,91,470,0,9,65,4,0,195,642,3,268,3374,11
"Lawrence County, Indiana",11782,6035,5747,11676,5982,5694,106,53,53,0,0,0,11782,11676,5982,5694,106,53,53,0,0,4,2,1,0,1,61,3016,72,324,0,41,54,6,0,51,1232,425,1085,3245,0
"Madison County, Indiana",8874,4623,4251,8868,4620,4248,6,3,3,0,0,0,8874,8868,4620,4248,6,3,3,0,0,3,0,3,2,1,0,1692,0,230,0,1,22,0,0,0,1120,0,332,2981,0
"Marion County, Indiana",16080,8383,7697,15825,8243,7582,255,140,115,0,0,0,16080,15825,8243,7582,255,140,115,0,0,22,6,18,7,11,1,2118,62,433,4,6,77,14,0,75,1595,0,194,6062,18
"Marshall County, Indiana",1651,866,785,1650,865,785,1,1,0,0,0,0,1651,1650,865,785,1,1,0,0,0,0,0,2,0,2,0,327,8,23,0,0,8,1,0,0,40,25,62,641,0
"Martin County, Indiana",3875,2039,1836,3852,2022,1830,23,17,6,0,0,0,3875,3852,2022,1830,23,17,6,0,0,1,0,1,0,1,0,1000,14,69,0,1,11,2,0,0,96,0,620,870,0
"Miami County, Indiana",3048,1621,1427,3044,1618,1426,4,3,1,0,0,0,3048,3044,1618,1426,4,3,1,0,0,7,1,5,0,5,0,798,29,110,0,0,18,0,0,0,356,0,251,979,2
"Monroe County, Indiana",10143,5220,4923,10130,5215,4915,13,5,8,0,0,0,10143,10130,5215,4915,13,5,8,0,0,4,4,0,0,0,0,2474,16,114,0,0,15,6,1,60,558,266,9,3697,0
"Montgomery County, Indiana",14438,7467,6971,14344,7411,6933,94,56,38,0,0,0,14438,14344,7411,6933,94,56,38,0,0,20,9,5,0,5,0,1972,35,425,17,1,73,4,1,243,626,1,1058,4461,6
"Morgan County, Indiana",10741,5601,5140,10651,5550,5101,90,51,39,0,0,0,10741,10651,5550,5101,90,51,39,0,0,12,5,5,1,4,0,1847,29,206,0,0,24,6,0,0,2050,0,0,4006,0
"Noble County, Indiana",2702,1472,1230,2702,1472,1230,0,0,0,0,0,0,2702,2702,1472,1230,0,0,0,0,0,1,1,0,0,0,0,850,9,65,0,0,9,0,0,0,111,0,182,912,0
"Orange County, Indiana",9602,4946,4656,9444,4862,4582,158,84,74,0,0,0,9602,9444,4862,4582,158,84,74,0,0,18,4,9,1,8,0,2541,26,247,1,1,29,6,0,0,974,0,1167,2463,3
"Owen County, Indiana",8359,4285,4074,8211,4213,3998,148,72,76,0,0,0,8359,8211,4213,3998,148,72,76,0,0,12,0,11,0,11,30,1822,34,45,0,0,0,14,0,0,558,0,793,2221,0
"Parke County, Indiana",13499,6913,6586,13436,6887,6549,63,26,37,0,0,0,13499,13436,6887,6549,63,26,37,0,0,23,6,14,2,12,0,3752,73,432,0,6,33,8,0,150,1841,0,1314,3864,0
"Perry County, Indiana",4655,2415,2240,4651,2412,2239,4,3,1,0,0,0,4655,4651,2412,2239,4,3,1,0,0,12,4,8,4,4,0,1167,22,105,0,3,6,4,0,0,194,54,574,1187,0
"Pike County, Indiana",4769,2475,2294,4749,2465,2284,20,10,10,0,0,0,4769,4749,2465,2284,20,10,10,0,0,13,5,9,1,8,0,911,21,61,0,0,26,0,0,15,342,0,695,1114,0
"Porter County, Indiana",2162,1177,985,2155,1172,983,7,5,2,0,0,0,2162,2155,1172,983,7,5,2,0,0,5,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,1,0,0,182,0,15,893,0
"Posey County, Indiana",9683,5147,4536,9642,5125,4517,41,22,19,0,0,0,9683,9642,5125,4517,41,22,19,0,0,9,2,4,0,4,1,2606,86,284,11,6,27,4,0,0,300,0,0,3908,4
"Pulaski County, Indiana",561,306,255,561,306,255,0,0,0,0,0,0,561,561,306,255,0,0,0,0,0,0,0,0,0,0,0,122,2,5,0,0,4,0,0,0,0,0,41,207,0
"Putnam County, Indiana",16843,8576,8267,16815,8567,8248,27,9,18,1,0,1,16842,16815,8567,8248,27,9,18,0,1,18,6,10,1,9,0,5679,47,350,3,1,37,13,0,87,2414,54,1021,5070,3
"Randolph County, Indiana",10684,5461,5223,10180,5185,4995,504,276,228,0,0,0,10684,10180,5185,4995,504,276,228,0,0,20,7,9,3,6,0,2515,22,224,1,1,25,6,0,0,610,45,333,3525,0
"Ripley County, Indiana",10392,5368,5024,10349,5340,5009,43,28,15,0,0,0,10392,10349,5340,5009,43,28,15,0,0,13,6,8,4,4,0,2191,1,242,12,1,11,14,0,20,70,26,208,3770,0
"Rush County, Indiana",16456,8376,8080,15973,8133,7840,481,242,239,2,1,1,16454,15973,8133,7840,481,242,239,1,1,29,11,22,3,19,0,3345,36,311,7,0,48,7,0,0,1149,25,1789,4262,7
"St Joseph County, Indiana",6425,3402,3023,6416,3397,3019,9,5,4,0,0,0,6425,6416,3397,3019,9,5,4,0,0,5,0,5,1,4,0,1427,41,324,4,2,38,3,0,38,920,323,383,2387,3
"Scott County, Indiana",4242,2230,2012,4227,2223,2004,15,7,8,0,0,0,4242,4227,2223,2004,15,7,8,0,0,2,0,3,1,2,0,731,0,47,0,1,2,7,0,0,55,0,470,1152,0
"Shelby County, Indiana",12005,6165,5840,11985,6152,5833,20,13,7,0,0,0,12005,11985,6152,5833,20,13,7,0,0,32,13,16,0,16,0,2294,23,251,0,0,37,6,0,0,249,40,878,3762,0
"Spencer County, Indiana",6305,3325,2980,6278,3307,2971,27,18,9,0,0,0,6305,6278,3307,2971,27,18,9,0,0,14,1,9,3,6,0,1724,44,80,0,15,23,4,0,0,300,210,700,1736,1
"Starke County, Indiana",149,80,69,149,80,69,0,0,0,0,0,0,149,149,80,69,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,5,52,0
"Steuben County, Indiana",2578,1370,1208,2578,1370,1208,0,0,0,0,0,0,2578,2578,1370,1208,0,0,0,0,0,0,0,0,0,0,0,1235,22,150,0,0,38,0,0,0,439,0,51,1056,0
"Sullivan County, Indiana",8315,4287,4028,8289,4270,4019,26,17,9,0,0,0,8315,8289,4270,4019,26,17,9,0,0,17,7,14,1,13,0,1776,26,240,0,3,34,5,0,45,620,0,543,2583,0
"Switzerland County, Indiana",9920,5166,4754,9878,5150,4728,42,16,26,0,0,0,9920,9878,5150,4728,42,16,26,0,0,4,3,3,1,2,0,1896,50,406,9,15,40,12,0,0,210,1,18,3889,3
"Tippecanoe County, Indiana",13724,7265,6459,13670,7233,6437,54,32,22,0,0,0,13724,13670,7233,6437,54,32,22,0,0,19,8,8,0,8,0,2948,91,473,0,0,39,4,0,50,588,0,1246,4395,11
"Union County, Indiana",8017,4152,3865,7956,4120,3836,61,32,29,0,0,0,8017,7956,4120,3836,61,32,29,0,0,6,4,2,0,2,0,2208,47,235,0,0,31,2,0,0,646,60,200,2995,0
"Vanderburgh County, Indiana",6250,3313,2937,6136,3255,2881,114,58,56,0,0,0,6250,6136,3255,2881,114,58,56,0,0,2,1,0,0,0,0,1083,22,176,0,1,23,1,0,0,212,0,198,2468,8
"Vermillion County, Indiana",8274,4336,3938,8251,4323,3928,23,13,10,0,0,0,8274,8251,4323,3928,23,13,10,0,0,14,3,10,1,9,50,1793,44,311,0,1,20,4,0,0,426,0,265,2946,2
"Vigo County, Indiana",12076,6330,5746,11651,6104,5547,425,226,199,0,0,0,12076,11651,6104,5547,425,226,199,0,0,12,0,14,8,6,0,1862,153,681,0,13,59,2,0,0,1307,228,666,4020,12
"Wabash County, Indiana",2756,1515,1241,2746,1511,1235,10,4,6,0,0,0,2756,2746,1511,1235,10,4,6,0,0,7,3,4,0,4,0,490,20,153,0,0,15,0,0,0,45,0,224,922,0
"Warren County, Indiana",5656,3008,2648,5656,3008,2648,0,0,0,0,0,0,5656,5656,3008,2648,0,0,0,0,0,8,0,6,1,5,0,694,24,185,0,0,25,2,0,0,185,0,465,1734,0
"Warrick County, Indiana",6321,3321,3000,6313,3319,2994,8,2,6,0,0,0,6321,6313,3319,2994,8,2,6,0,0,12,2,10,2,8,0,1951,30,65,0,0,11,2,0,0,710,0,715,1716,0
"Washington County, Indiana",15269,7878,7391,15076,7786,7290,193,92,101,0,0,0,15269,15076,7786,7290,193,92,101,0,0,32,6,23,9,14,0,4548,69,568,0,1,48,13,0,96,519,23,1332,4600,6
"Wayne County, Indiana",23290,11895,11395,22664,11567,11097,626,328,298,0,0,0,23290,22664,11567,11097,626,328,298,0,0,23,4,20,14,6,0,3876,78,1484,0,0,64,9,0,315,2079,0,42,9307,14
"Wells County, Indiana",1822,970,852,1809,967,842,13,3,10,0,0,0,1822,1809,967,842,13,3,10,0,0,2,1,0,0,0,0,332,7,33,0,4,2,0,0,0,25,0,230,514,0
"White County, Indiana",1832,950,882,1830,948,882,2,2,0,0,0,0,1832,1830,948,882,2,2,0,0,0,0,0,1,0,1,0,215,7,20,0,0,3,0,0,0,95,21,15,711,0
"Whitley County, Indiana",1237,675,562,1221,667,554,16,8,8,0,0,0,1237,1221,667,554,16,8,8,0,0,1,0,1,0,1,0,343,0,16,0,0,3,0,0,0,30,0,79,399,0
"Cedar County, Iowa Territory",1253,717,536,1253,717,536,0,0,0,0,0,0,1253,1253,717,536,0,0,0,0,0,1,0,2,1,1,0,388,11,7,1,0,7,0,0,0,0,0,51,471,0
"Clayton County, Iowa Territory",1101,774,327,1094,771,323,7,3,4,0,0,0,1101,1094,771,323,7,3,4,0,0,0,0,0,0,0,28,250,45,35,0,54,99,0,0,0,25,0,76,602,0
"Clinton County, Iowa Territory",821,475,346,811,472,339,10,3,7,0,0,0,821,811,472,339,10,3,7,0,0,0,0,0,0,0,0,232,4,17,0,0,5,0,0,0,15,0,0,410,0
"Delaware County, Iowa Territory",168,106,62,168,106,62,0,0,0,0,0,0,168,168,106,62,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,75,0
"Des Moines County, Iowa Territory",5577,3055,2522,5571,3052,2519,6,3,3,0,0,0,5577,5571,3052,2519,6,3,3,0,0,5,3,1,0,1,0,1172,57,252,0,5,65,0,0,0,352,0,193,2251,10
"Dubuque County, Iowa Territory",3059,1778,1281,2987,1742,1245,56,30,26,16,6,10,3043,2987,1742,1245,56,30,26,6,10,4,2,2,0,2,188,386,53,135,4,1,35,1,0,0,60,0,111,1439,2
"Henry County, Iowa Territory",3772,2029,1743,3756,2016,1740,16,13,3,0,0,0,3772,3756,2016,1740,16,13,3,0,0,2,0,1,1,0,0,1086,26,99,2,0,18,1,0,0,222,0,45,1476,0
"Indian Lands, Iowa Territory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackson County, Iowa Territory",1411,807,604,1401,802,599,10,5,5,0,0,0,1411,1401,802,599,10,5,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,17,709,0
"Jefferson County, Iowa Territory",2773,1515,1258,2773,1515,1258,0,0,0,0,0,0,2773,2773,1515,1258,0,0,0,0,0,1,1,2,0,2,0,470,6,62,0,0,8,0,0,0,151,0,1,1132,0
"Johnson County, Iowa Territory",1491,965,526,1488,963,525,3,2,1,0,0,0,1491,1488,963,525,3,2,1,0,0,0,0,0,0,0,0,330,18,222,0,0,5,0,0,0,0,0,110,740,0
"Jones County, Iowa Territory",471,289,182,471,289,182,0,0,0,0,0,0,471,471,289,182,0,0,0,0,0,0,0,0,0,0,0,284,0,5,0,0,0,0,0,0,0,0,5,233,0
"Lee County, Iowa Territory",6093,3355,2738,6082,3351,2731,11,4,7,0,0,0,6093,6082,3351,2731,11,4,7,0,0,4,2,2,0,2,0,1061,40,213,4,17,36,0,0,0,346,0,89,2532,0
"Linn County, Iowa Territory",1373,796,577,1372,795,577,1,1,0,0,0,0,1373,1372,795,577,1,1,0,0,0,0,0,0,0,0,0,1293,10,60,0,0,10,0,0,0,12,0,67,584,0
"Louisa County, Iowa Territory",1927,1077,850,1910,1069,841,17,8,9,0,0,0,1927,1910,1069,841,17,8,9,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,805,0
"Muscatine County, Iowa Territory",1942,1089,853,1917,1074,843,25,15,10,0,0,0,1942,1917,1074,843,25,15,10,0,0,0,0,0,0,0,0,328,26,132,2,0,18,0,0,0,68,0,10,939,0
"Scott County, Iowa Territory",2140,1221,919,2132,1217,915,8,4,4,0,0,0,2140,2132,1217,915,8,4,4,0,0,2,1,1,0,1,0,645,37,156,0,0,33,0,0,25,123,0,19,1010,3
"Van Buren County, Iowa Territory",6146,3414,2732,6144,3412,2732,2,2,0,0,0,0,6146,6144,3412,2732,2,2,0,0,0,1,1,0,0,0,0,1505,17,151,0,1,19,0,0,0,123,0,200,2354,0
"Washington County, Iowa Territory",1594,893,701,1594,893,701,0,0,0,0,0,0,1594,1594,893,701,0,0,0,0,0,0,0,0,0,0,1,543,5,81,0,0,7,0,0,0,0,0,124,576,0
"Adair County, Kentucky",8466,4293,4173,6769,3470,3299,92,48,44,1605,775,830,6861,6769,3470,3299,92,48,44,775,830,29,15,16,5,11,61,2195,20,193,0,1,33,17,1,0,212,0,654,2054,0
"Allen County, Kentucky",7329,3694,3635,6375,3229,3146,19,9,10,935,456,479,6394,6375,3229,3146,19,9,10,456,479,26,3,18,8,10,0,2269,10,101,0,0,10,13,0,0,104,0,1032,1386,0
"Anderson County, Kentucky",5452,2755,2697,4372,2237,2135,21,10,11,1059,508,551,4393,4372,2237,2135,21,10,11,508,551,8,0,6,0,6,0,3843,12,28,0,0,7,8,0,0,175,0,231,1536,0
"Barren County, Kentucky",17288,8738,8550,13147,6692,6455,76,35,41,4065,2011,2054,13223,13147,6692,6455,76,35,41,2011,2054,25,4,18,9,9,0,4949,39,374,0,0,45,21,0,32,739,0,1118,4213,0
"Bath County, Kentucky",9763,4927,4836,7708,3921,3787,104,51,53,1951,955,996,7812,7708,3921,3787,104,51,53,955,996,26,3,21,1,20,15,2682,40,240,0,0,25,11,0,0,562,0,865,2327,0
"Boone County, Kentucky",10034,5256,4778,7824,4150,3674,27,16,11,2183,1090,1093,7851,7824,4150,3674,27,16,11,1090,1093,22,9,11,1,10,0,3019,41,322,0,15,45,18,0,8,65,0,447,2989,0
"Bourbon County, Kentucky",14478,7465,7013,7845,4136,3709,308,148,160,6325,3181,3144,8153,7845,4136,3709,308,148,160,3181,3144,19,5,14,2,12,0,3602,83,705,0,0,47,23,0,201,709,0,317,3340,5
"Bracken County, Kentucky",7053,3679,3374,6083,3191,2892,151,78,73,819,410,409,6234,6083,3191,2892,151,78,73,410,409,17,4,11,3,8,0,1594,30,217,0,9,26,8,1,103,233,0,449,1989,0
"Breathitt County, Kentucky",2195,1114,1081,2076,1063,1013,0,0,0,119,51,68,2076,2076,1063,1013,0,0,0,51,68,14,5,5,3,2,8,634,0,0,0,0,1,3,0,0,0,0,487,246,0
"Breckinridge County, Kentucky",8944,4656,4288,7239,3828,3411,14,9,5,1691,819,872,7253,7239,3828,3411,14,9,5,819,872,5,1,3,2,1,0,2625,46,170,0,0,25,6,0,52,0,0,536,2302,0
"Bullitt County, Kentucky",6334,3253,3081,4996,2566,2430,18,7,11,1320,680,640,5014,4996,2566,2430,18,7,11,680,640,2,0,2,0,2,15,1614,17,173,0,0,7,9,0,0,0,0,103,1979,0
"Butler County, Kentucky",3898,1969,1929,3379,1716,1663,4,2,2,515,251,264,3383,3379,1716,1663,4,2,2,251,264,9,3,6,1,5,0,1028,22,0,0,0,0,7,0,51,98,0,376,970,0
"Caldwell County, Kentucky",10365,5347,5018,8091,4181,3910,103,54,49,2171,1112,1059,8194,8091,4181,3910,103,54,49,1112,1059,23,4,12,1,11,0,2758,57,283,0,12,54,12,1,69,377,0,890,2345,3
"Calloway County, Kentucky",9794,5008,4786,8870,4574,4296,13,6,7,911,428,483,8883,8870,4574,4296,13,6,7,428,483,12,7,4,3,1,0,3014,18,74,0,2,34,0,0,0,206,0,1502,1769,0
"Campbell County, Kentucky",5214,2826,2388,4921,2686,2235,4,3,1,289,137,152,4925,4921,2686,2235,4,3,1,137,152,5,0,3,2,1,0,1035,30,191,0,19,18,13,0,0,186,0,87,2159,0
"Carroll County, Kentucky",3966,2062,1904,3212,1680,1532,23,13,10,731,369,362,3235,3212,1680,1532,23,13,10,369,362,5,1,3,0,3,0,601,32,104,0,10,29,6,0,0,314,0,247,1183,0
"Carter County, Kentucky",2905,1471,1434,2711,1373,1338,8,5,3,186,93,93,2719,2711,1373,1338,8,5,3,93,93,2,0,0,0,0,0,2149,0,0,0,0,0,2,0,0,50,0,531,442,0
"Casey County, Kentucky",4939,2468,2471,4371,2193,2178,37,15,22,531,260,271,4408,4371,2193,2178,37,15,22,260,271,10,3,5,1,4,0,1420,9,1522,0,0,0,5,0,0,143,0,959,768,0
"Christian County, Kentucky",15587,7954,7633,9491,4895,4596,99,57,42,5997,3002,2995,9590,9491,4895,4596,99,57,42,3002,2995,18,7,14,2,12,0,4541,108,365,0,6,82,0,0,234,517,0,702,3193,4
"Clark County, Kentucky",10802,5422,5380,6755,3462,3293,145,74,71,3902,1886,2016,6900,6755,3462,3293,145,74,71,1886,2016,8,1,5,2,3,0,3117,41,275,0,0,69,9,0,115,738,0,168,2725,1
"Clay County, Kentucky",4607,2404,2203,3954,2027,1927,150,75,75,503,302,201,4104,3954,2027,1927,150,75,75,302,201,9,7,1,1,0,0,523,11,189,0,0,2,4,0,0,19,0,671,771,0
"Clinton County, Kentucky",3863,1957,1906,3674,1869,1805,1,1,0,188,87,101,3675,3674,1869,1805,1,1,0,87,101,15,5,8,2,6,0,1066,8,1019,0,0,15,7,0,25,49,0,580,847,0
